uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
59,齋藤綱記,左,-,56,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,182cm,92kg
69,松木平優太,右,.000,8,14,14,0,0,0,-,0,0,0,-,0,0,6,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,180cm,85kg
90,松山晋也,右,-,59,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,188cm,92kg
91,メヒア,右,.000,15,17,11,0,0,0,-,0,0,0,-,0,0,5,1,0,0,5,0,0,0,-,1,0,0,.000,.083,.000,0.083,193cm,104kg
92,マルティネス,左,-,60,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,190cm,112kg
93,フェリス,右,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
0,渡部遼人,左,.182,65,81,66,6,12,1,8.3,2,0,0,-,14,7,10,6,0,1,8,0,4,5,44.4,1,0,0,.417,.260,.212,0.472,171cm,72kg
1,福田周平,左,.232,69,261,228,25,53,7,13.2,6,1,1,0-1-0,64,13,26,25,1,2,6,0,7,3,70.0,0,0,1,.262,.314,.281,0.594,167cm,65kg
2,若月健矢,右,.201,96,299,264,13,53,7,13.2,9,1,3,3-0-0,73,18,59,10,2,3,19,3,0,1,0.0,4,3,8,.167,.236,.277,0.512,180cm,88kg
3,安達了一,右,.216,24,44,37,4,8,1,12.5,1,0,0,-,9,2,8,3,0,1,3,0,0,0,-,4,0,0,.333,.293,.243,0.536,N/A,N/A
4,森友哉,左,.281,117,457,395,46,111,3,2.7,24,1,9,6-2-1,164,46,61,50,2,7,0,5,6,1,85.7,1,2,4,.294,.368,.415,0.783,170cm,85kg
5,西野真弘,左,.300,89,312,280,27,84,13,15.5,6,3,1,1-0-0,99,13,26,22,0,1,8,1,3,1,75.0,4,0,3,.254,.352,.354,0.706,167cm,71kg
6,宗佑磨,左,.235,97,322,289,15,68,5,7.4,12,2,1,1-0-0,87,22,31,14,1,6,11,2,3,2,60.0,8,0,8,.270,.283,.301,0.584,181cm,83kg
7,西川龍馬,左,.258,138,553,519,42,134,8,6.0,25,0,7,6-1-0,180,46,97,27,1,1,2,4,11,1,91.7,3,0,11,.302,.294,.347,0.641,177cm,84kg
8,ゴンザレス,両,.131,23,65,61,3,8,0,0.0,0,0,1,1-0-0,11,2,13,4,1,0,0,0,0,0,-,3,0,0,.091,.185,.180,0.365,N/A,N/A
9,野口智哉,左,.111,12,30,27,4,3,0,0.0,1,0,1,0-1-0,7,1,10,1,0,2,0,0,0,1,0.0,1,0,0,.000,.200,.259,0.459,181cm,95kg
10,大城滉二,右,.308,7,18,13,3,4,0,0.0,1,0,0,-,5,2,1,0,0,2,3,0,0,0,-,0,0,0,.400,.400,.385,0.785,175cm,80kg
24,紅林弘太郎,右,.247,136,523,465,32,115,9,7.8,25,0,2,1-1-0,146,38,74,37,0,5,8,8,0,4,0.0,6,0,12,.262,.305,.314,0.619,187cm,94kg
25,内藤鵬,右,.100,7,21,20,0,2,1,50.0,1,0,0,-,3,0,9,0,0,1,0,0,0,0,-,0,0,0,.000,.143,.150,0.293,180cm,103kg
27,元謙太,右,.125,5,8,8,0,1,0,0.0,0,0,0,-,1,0,3,0,0,0,0,0,0,0,-,0,0,0,-,.125,.125,0.25,186cm,88kg
30,廣岡大志,右,.194,61,119,108,11,21,0,0.0,6,0,0,-,27,5,31,10,0,0,0,1,2,0,100.0,2,0,2,.167,.261,.250,0.511,185cm,92kg
31,太田椋,右,.288,91,369,333,39,96,4,4.2,16,3,6,2-4-0,136,40,66,27,0,1,4,4,4,3,57.1,7,0,10,.289,.340,.408,0.748,181cm,84kg
32,福永奨,右,.182,11,23,22,1,4,0,0.0,0,0,0,-,4,0,6,1,0,0,0,0,0,0,-,0,2,1,.000,.217,.182,0.399,175cm,87kg
33,杉澤龍,左,.053,28,21,19,0,1,0,0.0,0,0,0,-,1,0,6,0,0,0,2,0,0,0,-,1,0,0,.000,.053,.053,0.105,175cm,80kg
34,横山聖哉,左,.150,12,40,40,2,6,1,16.7,1,0,0,-,7,0,16,0,0,0,0,0,0,0,-,3,0,1,.000,.150,.175,0.325,181cm,86kg
36,山足達也,右,.133,43,18,15,5,2,0,0.0,0,0,0,-,2,0,3,3,1,0,0,0,2,0,100.0,1,0,0,.000,.278,.133,0.411,174cm,76kg
37,石川亮,右,.143,13,8,7,0,1,0,0.0,1,0,0,-,2,0,2,1,0,0,0,0,0,0,-,1,0,0,.000,.250,.286,0.536,181cm,87kg
38,来田涼斗,左,.212,54,189,170,14,36,5,13.9,7,2,2,0-2-0,53,11,49,10,0,2,7,0,4,4,50.0,4,0,4,.310,.264,.312,0.576,182cm,93kg
39,池田陵真,右,.174,8,23,23,0,4,1,25.0,0,0,0,-,4,0,4,0,0,0,0,0,0,0,-,0,0,1,.000,.174,.174,0.348,171cm,83kg
40,セデーニョ,右,.260,98,334,304,29,79,5,6.3,9,0,15,6-8-0,133,37,97,23,5,5,0,2,0,2,0.0,0,0,15,.200,.320,.438,0.758,194cm,118kg
41,佐野皓大,右,.000,4,2,2,1,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,-,.000,.000,0.0,182cm,80kg
44,頓宮裕真,右,.197,81,290,249,17,49,2,4.1,7,1,7,3-4-0,79,30,57,32,1,7,0,2,0,0,-,4,0,8,.180,.303,.317,0.621,182cm,103kg
45,トーマス,左,.000,10,18,18,0,0,0,-,0,0,0,-,0,0,7,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,N/A,N/A
50,小田裕也,左,.214,20,15,14,3,3,0,0.0,1,1,0,-,6,0,5,1,0,0,0,0,0,0,-,0,0,1,.000,.267,.429,0.695,N/A,N/A
53,宜保翔,左,.250,22,14,12,2,3,0,0.0,0,0,0,-,3,0,3,2,0,0,0,0,1,0,100.0,3,0,0,.000,.357,.250,0.607,175cm,75kg
55,T-岡田,左,.125,4,9,8,0,1,0,0.0,0,0,0,-,1,0,3,1,0,0,0,0,0,0,-,0,0,0,.000,.222,.125,0.347,N/A,N/A
61,茶野篤政,左,.269,16,57,52,6,14,3,21.4,2,1,0,-,18,6,13,3,0,0,1,1,5,0,100.0,1,0,0,.462,.304,.346,0.65,175cm,80kg
64,大里昂生,左,.235,51,176,153,11,36,2,5.6,4,2,2,2-0-0,50,8,26,14,0,1,8,0,5,2,71.4,5,0,1,.333,.304,.327,0.63,178cm,76kg
67,中川圭太,右,.231,60,233,216,24,50,6,12.0,12,0,2,1-1-0,68,16,24,13,0,0,2,2,3,1,75.0,2,0,3,.286,.273,.315,0.588,180cm,76kg
99,杉本裕太郎,右,.233,82,239,219,17,51,6,11.8,7,0,11,6-4-0,91,27,56,15,1,4,0,1,1,0,100.0,1,0,5,.293,.293,.416,0.708,190cm,104kg
0,エスピノーザ,右,.000,22,4,4,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,0.0,183cm,86kg
11,山下舜平大,右,-,14,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,190cm,100kg
12,東晃平,右,.000,10,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,178cm,90kg
13,宮城大弥,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,171cm,85kg
14,宇田川優希,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,184cm,92kg
15,椋木蓮,右,-,10,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,179cm,86kg
16,平野佳寿,右,-,12,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,186cm,88kg
17,曽谷龍平,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,0.0,183cm,83kg
19,山岡泰輔,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,172cm,68kg
20,阿部翔太,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,80kg
21,山﨑颯一郎,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,190cm,98kg
22,村西良太,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,174cm,76kg
23,吉田輝星,右,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,83kg
26,齋藤響介,右,.000,8,4,4,0,0,0,-,0,0,0,-,0,0,4,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,0.0,177cm,72kg
28,富山凌雅,左,-,16,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,88kg
29,田嶋大樹,左,.000,21,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,182cm,82kg
35,比嘉幹貴,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
42,マチャド,右,-,53,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,105kg
43,前佑囲斗,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,182cm,90kg
46,本田仁海,左,-,23,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,181cm,74kg
52,横山楓,両,-,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,181cm,91kg
54,カスティーヨ,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,0.0,N/A,N/A
56,小木田敦也,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,173cm,83kg
57,山田修義,左,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,95kg
58,井口和朋,右,-,33,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,75kg
59,ペルドモ,右,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,188cm,84kg
66,鈴木博志,右,-,32,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
93,佐藤一磨,左,.000,5,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,2,0,0,-,.000,.000,0.0,190cm,97kg
94,川瀬堅斗,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,93kg
95,才木海翔,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,182cm,85kg
96,髙島泰都,右,.000,21,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,181cm,88kg
97,古田島成龍,右,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,85kg
98,権田琉成,右,-,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,88kg
0,池田来翔,右,.111,21,46,45,2,5,1,20.0,2,0,0,-,7,1,7,1,0,0,0,0,0,0,-,1,0,2,.143,.130,.156,0.286,180cm,95kg
0,荻野貴司,右,.279,80,213,197,25,55,10,18.2,6,1,1,1-0-0,66,15,15,10,1,2,4,0,0,0,-,1,0,6,.250,.321,.335,0.656,172cm,75kg
1,藤原恭大,左,.290,74,264,231,30,67,8,11.9,8,4,2,1-1-0,89,21,39,25,0,3,3,2,4,1,80.0,0,0,2,.296,.364,.385,0.749,181cm,80kg
2,松川虎生,右,.250,2,4,4,0,1,0,0.0,0,0,0,-,1,0,3,0,0,0,0,0,0,0,-,0,0,0,.500,.250,.250,0.5,178cm,98kg
3,角中勝也,左,.280,84,217,189,21,53,5,9.4,12,2,3,3-0-0,78,20,37,24,1,1,1,2,0,0,-,1,0,4,.282,.361,.413,0.774,180cm,85kg
4,友杉篤輝,右,.206,125,393,355,33,73,13,17.8,10,0,0,-,83,15,52,17,0,0,19,2,11,2,84.6,14,0,5,.192,.241,.234,0.474,171cm,70kg
5,安田尚憲,左,.228,55,174,158,14,36,2,5.6,13,0,0,-,49,15,48,13,0,0,0,3,0,0,-,2,0,4,.250,.282,.310,0.592,188cm,100kg
7,藤岡裕大,左,.256,90,369,312,31,80,2,2.5,13,1,5,2-3-0,110,29,58,46,1,2,7,2,0,0,-,5,0,4,.214,.354,.353,0.706,178cm,86kg
8,中村奨吾,右,.234,120,433,376,36,88,7,8.0,18,0,4,2-1-1,118,27,75,41,0,5,11,0,2,2,50.0,9,0,15,.178,.318,.314,0.631,180cm,86kg
10,上田希由翔,左,.259,21,64,58,3,15,5,33.3,3,0,0,-,18,7,9,2,0,2,1,1,0,0,-,3,0,0,.357,.302,.310,0.612,183cm,96kg
22,ポランコ,左,.243,118,468,416,47,101,7,6.9,21,0,23,11-8-1,191,60,86,46,2,2,0,4,0,0,-,1,0,5,.238,.318,.459,0.778,196cm,108kg
23,石川慎吾,右,.211,33,93,90,2,19,3,15.8,3,0,1,1-0-0,25,5,19,3,0,0,0,0,0,0,-,2,0,3,.174,.237,.278,0.514,178cm,80kg
25,岡大海,右,.287,103,420,362,52,104,11,10.6,28,2,7,4-2-0,157,33,64,44,6,7,4,3,11,3,78.6,0,0,9,.291,.373,.434,0.806,185cm,80kg
27,田村龍弘,右,.200,51,160,140,11,28,1,3.6,10,0,0,-,38,14,27,14,0,0,4,2,0,0,-,3,1,2,.257,.269,.271,0.541,172cm,81kg
32,佐藤都志也,左,.278,116,452,410,41,114,10,8.8,20,0,5,5-0-0,149,45,51,29,2,3,4,6,4,1,80.0,5,5,10,.287,.326,.363,0.689,181cm,91kg
38,髙部瑛斗,左,.300,76,287,260,37,78,21,26.9,12,3,1,0-1-0,99,23,43,19,2,1,5,2,10,4,71.4,1,0,3,.333,.348,.381,0.728,178cm,72kg
39,大下誠一郎,右,.150,22,22,20,1,3,1,33.3,1,0,0,-,4,1,4,1,0,0,1,0,0,0,-,0,0,0,.286,.190,.200,0.39,171cm,89kg
50,愛斗,右,.188,52,76,69,4,13,2,15.4,2,0,0,-,15,3,14,4,0,1,2,0,0,0,-,1,0,3,.174,.243,.217,0.461,177cm,92kg
51,山口航輝,右,.200,51,181,170,10,34,3,8.8,8,0,2,0-2-0,48,13,30,10,0,1,0,0,1,0,100.0,2,0,6,.227,.249,.282,0.531,183cm,100kg
55,柿沼友哉,右,.000,3,3,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,180cm,86kg
57,小川龍成,左,.241,119,313,261,33,63,16,25.4,2,0,0,-,65,21,52,30,1,0,20,2,10,1,90.9,5,0,2,.313,.317,.249,0.566,171cm,74kg
61,山本大斗,右,.111,5,19,18,0,2,0,0.0,1,0,0,-,3,0,4,1,0,0,0,0,0,0,-,0,0,0,.000,.158,.167,0.325,180cm,88kg
63,和田康士朗,左,.150,88,71,60,12,9,1,11.1,0,0,0,-,9,8,13,6,0,1,3,1,11,0,100.0,1,0,0,.182,.235,.150,0.385,185cm,77kg
65,寺地隆成,左,.143,2,7,7,0,1,0,0.0,1,0,0,-,2,0,4,0,0,0,0,0,0,0,-,0,1,0,.000,.143,.286,0.429,177cm,82kg
67,茶谷健太,右,.167,88,76,72,5,12,0,0.0,1,0,0,-,13,4,18,1,0,0,2,1,0,0,-,2,0,1,.091,.176,.181,0.356,186cm,88kg
99,ソト,右,.269,132,542,491,43,132,3,2.3,22,2,21,13-6-1,221,88,136,42,2,5,0,4,0,0,-,3,0,19,.321,.330,.450,0.78,185cm,97kg
11,澤村拓一,右,-,39,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,184cm,105kg
12,石川歩,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,186cm,80kg
14,小島和哉,左,.000,25,4,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,0.0,178cm,85kg
15,美馬学,左,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,169cm,75kg
16,種市篤暉,右,.000,23,5,4,0,0,0,-,0,0,0,-,0,0,4,0,0,0,1,0,0,0,-,1,0,0,-,.000,.000,0.0,183cm,88kg
17,佐々木朗希,右,.000,18,3,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,0.0,N/A,N/A
19,唐川侑己,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,181cm,90kg
24,東妻勇輔,右,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,172cm,80kg
28,菊地吏玖,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,93kg
29,西野勇士,右,.000,20,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,183cm,90kg
30,廣畑敦也,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,83kg
31,大谷輝龍,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,81kg
33,八木彬,右,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,94kg
34,高野脩汰,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,184cm,88kg
35,田中晴也,左,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,186cm,92kg
36,坂本光士郎,左,-,37,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,179cm,80kg
37,小野郁,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,78kg
40,西村天裕,右,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,177cm,92kg
41,カイケル,左,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
42,メルセデス,両,.000,21,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,2,0,0,.000,.000,.000,0.0,N/A,N/A
46,岩下大輝,右,-,21,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,182cm,90kg
47,鈴木昭汰,左,-,51,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,80kg
48,中村稔弥,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,84kg
52,益田直也,右,-,44,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,179cm,80kg
56,中森俊介,左,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,182cm,90kg
60,横山陸人,右,-,43,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,180cm,90kg
66,澤田圭佑,左,.000,21,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,178cm,96kg
69,コルデロ,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
91,二保旭,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
92,国吉佑樹,右,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,196cm,106kg
93,吉田凌,右,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
41,ダイクストラ,左,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,N/A,N/A
0,川瀬晃,左,.261,105,156,138,17,36,4,11.1,2,2,0,-,42,7,24,7,1,0,10,1,2,2,50.0,1,0,0,.235,.295,.304,0.599,176cm,71kg
3,近藤健介,左,.314,129,535,436,66,137,7,5.1,29,2,19,12-3-1,227,72,76,92,11,6,0,1,11,1,91.7,1,0,10,.324,.439,.521,0.96,173cm,85kg
4,ダウンズ,右,.273,7,26,22,3,6,0,0.0,0,0,1,1-0-0,9,2,1,2,0,2,0,0,1,0,100.0,1,0,0,1.000,.385,.409,0.794,178cm,89kg
6,今宮健太,右,.262,133,538,462,60,121,8,6.6,25,4,6,4-2-0,172,39,87,46,2,3,25,2,1,0,100.0,4,0,9,.243,.331,.372,0.704,172cm,76kg
7,中村晃,左,.221,101,203,181,15,40,2,5.0,4,0,0,-,44,16,24,19,1,1,1,1,0,1,0.0,1,0,6,.224,.297,.243,0.54,175cm,81kg
8,牧原大成,左,.283,78,259,240,26,68,6,8.8,7,4,2,1-1-0,89,13,41,8,0,1,9,1,6,4,60.0,7,0,2,.222,.308,.371,0.679,172cm,72kg
9,柳田悠岐,左,.286,52,225,185,31,53,4,7.5,7,1,4,4-0-0,74,35,36,35,3,3,0,2,3,0,100.0,1,0,2,.367,.404,.400,0.804,187cm,90kg
12,嶺井博希,右,.500,4,6,6,2,3,0,0.0,0,0,1,1-0-0,6,3,1,0,0,0,0,0,0,0,-,0,0,0,.500,.500,1.000,1.5,176cm,86kg
13,三森大貴,左,.288,25,71,66,6,19,1,5.3,2,0,1,1-0-0,24,13,10,4,0,0,1,0,2,1,66.7,4,0,1,.417,.329,.364,0.692,186cm,76kg
19,甲斐拓也,右,.256,119,392,344,34,88,3,3.4,25,0,5,5-0-0,128,43,89,31,0,1,14,2,1,1,50.0,1,4,6,.298,.317,.372,0.69,170cm,87kg
23,周東佑京,左,.269,123,477,428,63,115,19,16.5,15,5,2,2-0-0,146,26,90,26,0,10,10,3,41,13,75.9,1,0,4,.247,.323,.341,0.664,180cm,71kg
24,栗原陵矢,左,.273,140,598,527,74,144,8,5.6,40,2,20,12-7-0,248,87,99,49,1,5,10,7,2,1,66.7,8,0,10,.269,.337,.471,0.807,179cm,83kg
25,山川穂高,右,.247,143,611,550,66,136,2,1.5,26,1,34,22-6-0,266,99,158,48,3,10,0,3,0,0,-,5,0,17,.247,.318,.484,0.801,177cm,114kg
28,ウォーカー,右,.169,20,66,65,2,11,2,18.2,3,0,1,1-0-0,17,3,19,0,0,1,0,0,1,0,100.0,0,0,1,.105,.182,.262,0.443,N/A,N/A
30,佐藤直樹,右,.190,44,93,84,7,16,4,25.0,3,1,0,-,21,6,30,4,0,3,1,1,3,3,50.0,1,0,0,.278,.250,.250,0.5,178cm,85kg
31,正木智也,右,.270,80,282,263,21,71,5,7.0,21,0,7,7-0-0,113,29,65,11,0,5,1,2,1,0,100.0,2,0,4,.356,.310,.430,0.739,182cm,91kg
32,柳町達,左,.269,73,237,216,26,58,1,1.7,11,5,4,3-1-0,91,40,65,14,0,1,4,2,1,0,100.0,0,0,4,.387,.313,.421,0.735,180cm,78kg
33,廣瀨隆太,右,.233,35,111,103,9,24,3,12.5,4,0,2,2-0-0,34,9,17,5,0,2,0,1,0,1,0.0,2,0,6,.171,.279,.330,0.609,181cm,87kg
43,井上朋也,右,.000,5,10,10,0,0,0,-,0,0,0,-,0,0,5,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,182cm,89kg
44,笹川吉康,左,.286,7,21,21,3,6,0,0.0,0,0,1,1-0-0,9,2,6,0,0,0,0,0,2,1,66.7,0,0,0,.333,.286,.429,0.714,194cm,97kg
45,谷川原健太,左,.444,4,10,9,3,4,0,0.0,1,1,0,-,7,2,2,0,0,1,0,0,0,0,-,0,0,0,.000,.500,.778,1.278,174cm,87kg
52,リチャード,右,.226,15,33,31,0,7,1,14.3,3,0,0,-,10,1,12,1,0,1,0,0,0,0,-,0,0,3,.500,.273,.323,0.595,189cm,123kg
55,石塚綜一郎,右,.194,15,40,31,2,6,0,0.0,0,0,1,0-1-0,9,6,10,3,0,4,0,1,0,0,-,1,0,0,.154,.333,.290,0.624,181cm,91kg
57,緒方理貢,左,.173,86,62,52,19,9,1,11.1,1,1,0,-,12,4,10,7,0,0,3,0,4,1,80.0,1,0,2,.214,.271,.231,0.502,175cm,69kg
61,川村友斗,左,.268,88,140,123,27,33,3,9.1,8,2,1,1-0-0,48,14,43,10,0,3,3,1,3,1,75.0,0,0,1,.256,.336,.390,0.726,181cm,88kg
62,海野隆司,右,.173,51,120,104,10,18,1,5.6,5,0,2,2-0-0,29,10,30,6,0,1,9,0,0,0,-,1,2,3,.167,.225,.279,0.504,174cm,84kg
64,吉田賢吾,右,.192,10,27,26,2,5,0,0.0,0,0,0,-,5,2,4,0,0,0,0,1,0,0,-,0,0,0,.000,.185,.192,0.377,181cm,94kg
69,仲田慶介,両,.214,24,16,14,2,3,1,33.3,0,0,0,-,3,0,3,1,0,0,1,0,0,0,-,0,0,1,.000,.267,.214,0.481,175cm,74kg
99,野村勇,右,.116,38,50,43,9,5,1,20.0,0,0,0,-,5,1,18,6,1,0,1,0,4,0,100.0,1,0,1,.143,.224,.116,0.341,174cm,82kg
